COMUM,1001,Ana Silva,ana.silva@email.com,(11) 98765-4321
Bibliotecario,1002,Carlos Oliveira,carlos.oliveira@biblioteca.com,(21) 99876-5432
COMUM,1003,Marina Santos,marina.santos@email.com,(31) 97654-3210
COMUM,1004,Pedro Almeida,pedro.almeida@email.com,(41) 96543-2109
Bibliotecario,1005,Juliana Costa,juliana.costa@biblioteca.com,(51) 95432-1098
COMUM,1006,Rafael Mendes,rafael.mendes@email.com,(61) 94321-0987
COMUM,1007,Fernanda Lima,fernanda.lima@email.com,(71) 93210-9876
Bibliotecario,1008,Rodrigo Pereira,rodrigo.pereira@biblioteca.com,(81) 92109-8765
COMUM,1009,Tatiane Rocha,tatiane.rocha@email.com,(12) 91098-7654
COMUM,1010,Lucas Barbosa,lucas.barbosa@email.com,(13) 90987-6543
